40335,761,209,195,713,0.1514,0.0046,0.0214,0.0841,255,247
40340,795,196,235,829,-0.1235,-0.0001,-0.5194,-0.0686,229,255
40345,901,213,235,834,0.1476,0.0002,0.2004,0.0820,255,241
40350,823,224,222,781,0.1124,0.0004,0.1986,0.0624,255,242
40355,717,173,206,761,-0.1599,-0.0002,-0.3361,-0.0889,235,255
40360,716,203,214,793,-0.2262,-0.0008,-0.1133,-0.1256,241,255
40365,657,182,222,731,-0.2632,-0.0015,0.2879,-0.1462,255,254
40370,594,182,227,707,-0.4042,-0.0023,-0.2721,-0.2246,227,255
40375,597,173,213,700,-0.3733,-0.0034,0.1902,-0.2074,247,255
40380,618,175,266,716,-0.3904,-0.0044,-0.2669,-0.2169,228,255
40385,663,175,252,738,-0.2974,-0.0052,0.0196,-0.1652,243,255
40390,653,160,234,708,-0.2451,-0.0060,0.1902,-0.1362,252,255
40395,635,160,235,707,-0.3016,-0.0068,-0.0257,-0.1675,241,255
40400,679,178,232,743,-0.2417,-0.0076,0.1648,-0.1343,251,255
40405,675,169,217,709,-0.1525,-0.0080,-0.0132,-0.0847,248,255
40410,648,173,213,657,-0.0713,-0.0081,-0.0465,-0.0396,249,255
40415,661,171,227,647,-0.0148,-0.0082,0.0365,-0.0082,255,254
40420,686,200,197,655,0.0994,0.0001,0.2138,0.0552,255,242
40425,717,200,206,721,-0.0176,-0.0000,-0.1673,-0.0098,247,255
40430,823,224,210,819,0.0225,0.0001,-0.1848,0.0125,248,255
40435,859,208,221,798,0.1467,0.0005,0.0196,0.0815,255,248
40440,810,194,218,764,0.1033,0.0007,0.1186,0.0574,255,246
40445,782,196,225,760,0.0339,0.0010,-0.2664,0.0188,245,255
40450,816,212,231,785,0.0652,0.0013,-0.1096,0.0362,253,255
40455,887,211,240,845,0.0800,0.0016,0.0355,0.0444,255,250
40460,819,190,236,824,-0.0531,-0.0000,-0.2109,-0.0295,244,255
40465,772,183,217,827,-0.1792,-0.0004,-0.0882,-0.0995,244,255
40470,756,182,252,851,-0.3131,-0.0010,-0.6431,-0.1739,216,255
40475,700,165,240,816,-0.3964,-0.0019,-0.2225,-0.2202,230,255
40480,616,160,240,746,-0.4801,-0.0032,-0.1419,-0.2667,229,255
40485,585,148,247,721,-0.5365,-0.0047,-0.0144,-0.2981,232,255
40490,597,153,248,739,-0.5399,-0.0061,-0.0430,-0.2999,231,255
40495,675,190,290,815,-0.4751,-0.0074,-0.0132,-0.2640,235,255
40500,645,153,227,760,-0.4225,-0.0088,0.4070,-0.2347,254,255
40560,589,194,154,523,0.2934,0.0059,-0.2265,0.1630,255,252
40565,654,200,159,575,0.3151,0.0066,-0.0400,0.1751,255,243
40570,747,220,188,669,0.2625,0.0073,0.0778,0.1458,255,241
40575,803,238,214,786,0.0661,0.0078,-0.5119,0.0367,237,255
40580,725,204,226,726,-0.0239,-0.0001,0.0567,-0.0133,255,253
40585,671,160,228,716,-0.2059,-0.0006,0.0075,-0.1144,247,255
40590,649,156,245,742,-0.3696,-0.0016,-0.1851,-0.2054,232,255
40595,687,170,270,807,-0.4281,-0.0026,-0.2315,-0.2378,228,255
40600,631,190,279,763,-0.4686,-0.0038,-0.1504,-0.2603,230,255
40605,576,142,260,709,-0.5516,-0.0054,-0.0821,-0.3065,229,255
40610,572,142,279,735,-0.6521,-0.0066,-0.4522,-0.3623,210,255
40615,615,165,300,768,-0.5786,-0.0081,0.4126,-0.3214,248,255
40620,640,144,339,853,-0.7597,-0.0097,-0.2278,-0.4221,215,255
40625,606,130,290,785,-0.6928,-0.0113,0.0255,-0.3849,227,255
40630,558,118,287,700,-0.6440,-0.0127,0.0854,-0.3578,232,255
40635,525,121,290,707,-0.7833,-0.0149,-0.1038,-0.4352,218,255
40641,516,123,312,730,-0.8898,-0.0158,-0.5614,-0.4943,196,255
40646,584,118,367,807,-0.8808,-0.0181,-0.1261,-0.4893,214,255
40651,584,123,356,820,-0.8995,-0.0206,0.0249,-0.4997,219,255
40656,462,112,320,711,-1.0710,-0.0233,-0.3603,-0.5950,196,255
40661,405,95,286,636,-1.1190,-0.0256,-0.3365,-0.6217,195,255
40666,378,93,291,618,-1.1974,-0.0283,-0.1101,-0.6652,201,255
40671,388,91,304,638,-1.2198,-0.0309,-0.1439,-0.6777,199,255
